filename field pointing_angle
/Users/Vince.ec/Clear_data/flt_files/icxt36jnq_flt.fits GN7 334.991486
/Users/Vince.ec/Clear_data/flt_files/icxt36jqq_flt.fits GN7 334.991089
/Users/Vince.ec/Clear_data/flt_files/icxt36jsq_flt.fits GN7 334.990509
/Users/Vince.ec/Clear_data/flt_files/icxt37laq_flt.fits GN7 314.990601
/Users/Vince.ec/Clear_data/flt_files/icxt37lbq_flt.fits GN7 314.991394
/Users/Vince.ec/Clear_data/flt_files/icxt37leq_flt.fits GN7 314.991089
/Users/Vince.ec/Clear_data/flt_files/icxt37lgq_flt.fits GN7 314.990387
/Users/Vince.ec/Clear_data/flt_files/icxt38p6q_flt.fits GN7 314.990601
/Users/Vince.ec/Clear_data/flt_files/icxt38p7q_flt.fits GN7 314.991394
/Users/Vince.ec/Clear_data/flt_files/icxt38paq_flt.fits GN7 314.991089
/Users/Vince.ec/Clear_data/flt_files/icxt38pcq_flt.fits GN7 314.990387
/Users/Vince.ec/Clear_data/flt_files/icxt39eoq_flt.fits GN7 9.993937
/Users/Vince.ec/Clear_data/flt_files/icxt39epq_flt.fits GN7 9.994167
/Users/Vince.ec/Clear_data/flt_files/icxt39esq_flt.fits GN7 9.993683
/Users/Vince.ec/Clear_data/flt_files/icxt39euq_flt.fits GN7 9.993453
/Users/Vince.ec/Clear_data/flt_files/icxt40npq_flt.fits GN7 9.993937
/Users/Vince.ec/Clear_data/flt_files/icxt40nrq_flt.fits GN7 9.994167
/Users/Vince.ec/Clear_data/flt_files/icxt40nuq_flt.fits GN7 9.993683
/Users/Vince.ec/Clear_data/flt_files/icxt40nwq_flt.fits GN7 9.993453
/Users/Vince.ec/Clear_data/flt_files/icxt41f1q_flt.fits GN5 13.86468
/Users/Vince.ec/Clear_data/flt_files/icxt41f2q_flt.fits GN5 13.86486
/Users/Vince.ec/Clear_data/flt_files/icxt41f5q_flt.fits GN5 13.86438
/Users/Vince.ec/Clear_data/flt_files/icxt41f7q_flt.fits GN5 13.86419
/Users/Vince.ec/Clear_data/flt_files/icxt42q5q_flt.fits GN5 345.991486
/Users/Vince.ec/Clear_data/flt_files/icxt42q6q_flt.fits GN5 345.992004
/Users/Vince.ec/Clear_data/flt_files/icxt42q9q_flt.fits GN5 345.991608
/Users/Vince.ec/Clear_data/flt_files/icxt42qbq_flt.fits GN5 345.991089
/Users/Vince.ec/Clear_data/flt_files/icxt43vsq_flt.fits GN5 345.991486
/Users/Vince.ec/Clear_data/flt_files/icxt43vtq_flt.fits GN5 345.992004
/Users/Vince.ec/Clear_data/flt_files/icxt43vwq_flt.fits GN5 345.991608
/Users/Vince.ec/Clear_data/flt_files/icxt43vyq_flt.fits GN5 345.991089
/Users/Vince.ec/Clear_data/flt_files/icxt44ooq_flt.fits GN5 52.000301
/Users/Vince.ec/Clear_data/flt_files/icxt44opq_flt.fits GN5 51.999989
/Users/Vince.ec/Clear_data/flt_files/icxt44osq_flt.fits GN5 51.999611
/Users/Vince.ec/Clear_data/flt_files/icxt44ouq_flt.fits GN5 51.99992
/Users/Vince.ec/Clear_data/flt_files/icxt45oxq_flt.fits GN5 52.000301
/Users/Vince.ec/Clear_data/flt_files/icxt45oyq_flt.fits GN5 51.999989
/Users/Vince.ec/Clear_data/flt_files/icxt45p1q_flt.fits GN5 51.999611
/Users/Vince.ec/Clear_data/flt_files/icxt45p3q_flt.fits GN5 51.99992
/Users/Vince.ec/Clear_data/flt_files/icxt46swq_flt.fits GN1 173.307907
/Users/Vince.ec/Clear_data/flt_files/icxt46sxq_flt.fits GN1 173.307495
/Users/Vince.ec/Clear_data/flt_files/icxt46t0q_flt.fits GN1 173.307999
/Users/Vince.ec/Clear_data/flt_files/icxt46t2q_flt.fits GN1 173.308395
/Users/Vince.ec/Clear_data/flt_files/icxt47xbq_flt.fits GN1 153.309204
/Users/Vince.ec/Clear_data/flt_files/icxt47xcq_flt.fits GN1 153.308594
/Users/Vince.ec/Clear_data/flt_files/icxt47xfq_flt.fits GN1 153.309006
/Users/Vince.ec/Clear_data/flt_files/icxt47xhq_flt.fits GN1 153.309601
/Users/Vince.ec/Clear_data/flt_files/icxt48mgq_flt.fits GN1 153.309204
/Users/Vince.ec/Clear_data/flt_files/icxt48mhq_flt.fits GN1 153.308594
/Users/Vince.ec/Clear_data/flt_files/icxt48mnq_flt.fits GN1 153.309006
/Users/Vince.ec/Clear_data/flt_files/icxt48mtq_flt.fits GN1 153.309601
/Users/Vince.ec/Clear_data/flt_files/icxt49hmq_flt.fits GN1 213.302704
/Users/Vince.ec/Clear_data/flt_files/icxt49hnq_flt.fits GN1 213.302795
/Users/Vince.ec/Clear_data/flt_files/icxt49hqq_flt.fits GN1 213.303299
/Users/Vince.ec/Clear_data/flt_files/icxt49hsq_flt.fits GN1 213.303207
/Users/Vince.ec/Clear_data/flt_files/icxt50hvq_flt.fits GN1 213.302704
/Users/Vince.ec/Clear_data/flt_files/icxt50hwq_flt.fits GN1 213.302795
/Users/Vince.ec/Clear_data/flt_files/icxt50hzq_flt.fits GN1 213.303299
/Users/Vince.ec/Clear_data/flt_files/icxt50i1q_flt.fits GN1 213.303207
/Users/Vince.ec/Clear_data/flt_files/icxt51jvq_flt.fits GN2 344.991486
/Users/Vince.ec/Clear_data/flt_files/icxt51jwq_flt.fits GN2 344.992004
/Users/Vince.ec/Clear_data/flt_files/icxt51jzq_flt.fits GN2 344.991486
/Users/Vince.ec/Clear_data/flt_files/icxt51k1q_flt.fits GN2 344.990997
/Users/Vince.ec/Clear_data/flt_files/icxt52i0q_flt.fits GN2 308.878387
/Users/Vince.ec/Clear_data/flt_files/icxt52i1q_flt.fits GN2 308.879089
/Users/Vince.ec/Clear_data/flt_files/icxt52i4q_flt.fits GN2 308.878906
/Users/Vince.ec/Clear_data/flt_files/icxt52i6q_flt.fits GN2 308.878204
/Users/Vince.ec/Clear_data/flt_files/icxt53i9q_flt.fits GN2 308.878387
/Users/Vince.ec/Clear_data/flt_files/icxt53iaq_flt.fits GN2 308.879089
/Users/Vince.ec/Clear_data/flt_files/icxt53idq_flt.fits GN2 308.878906
/Users/Vince.ec/Clear_data/flt_files/icxt53ifq_flt.fits GN2 308.878204
/Users/Vince.ec/Clear_data/flt_files/icxt55krq_flt.fits GN2 21.99556
/Users/Vince.ec/Clear_data/flt_files/icxt55ksq_flt.fits GN2 21.99564
/Users/Vince.ec/Clear_data/flt_files/icxt55kvq_flt.fits GN2 21.99515
/Users/Vince.ec/Clear_data/flt_files/icxt55kxq_flt.fits GN2 21.995081
/Users/Vince.ec/Clear_data/flt_files/icxt56tbq_flt.fits GN3 174.8078
/Users/Vince.ec/Clear_data/flt_files/icxt56tcq_flt.fits GN3 174.807404
/Users/Vince.ec/Clear_data/flt_files/icxt56tfq_flt.fits GN3 174.8078
/Users/Vince.ec/Clear_data/flt_files/icxt56thq_flt.fits GN3 174.808197
/Users/Vince.ec/Clear_data/flt_files/icxt57a1q_flt.fits GN3 150.808594
/Users/Vince.ec/Clear_data/flt_files/icxt57aoq_flt.fits GN3 150.809006
/Users/Vince.ec/Clear_data/flt_files/icxt57aqq_flt.fits GN3 150.809601
/Users/Vince.ec/Clear_data/flt_files/icxt57zyq_flt.fits GN3 150.809296
/Users/Vince.ec/Clear_data/flt_files/icxt58a9q_flt.fits GN3 150.809296
/Users/Vince.ec/Clear_data/flt_files/icxt58aeq_flt.fits GN3 150.808594
/Users/Vince.ec/Clear_data/flt_files/icxt58b2q_flt.fits GN3 150.809006
/Users/Vince.ec/Clear_data/flt_files/icxt58b4q_flt.fits GN3 150.809601
/Users/Vince.ec/Clear_data/flt_files/icxt59fuq_flt.fits GN3 199.703094
/Users/Vince.ec/Clear_data/flt_files/icxt59fyq_flt.fits GN3 199.703003
/Users/Vince.ec/Clear_data/flt_files/icxt59glq_flt.fits GN3 199.703506
/Users/Vince.ec/Clear_data/flt_files/icxt59goq_flt.fits GN3 199.703598
/Users/Vince.ec/Clear_data/flt_files/icxt60grq_flt.fits GN3 199.703094
/Users/Vince.ec/Clear_data/flt_files/icxt60gsq_flt.fits GN3 199.703003
/Users/Vince.ec/Clear_data/flt_files/icxt60gvq_flt.fits GN3 199.703506
/Users/Vince.ec/Clear_data/flt_files/icxt60gxq_flt.fits GN3 199.703598
/Users/Vince.ec/Clear_data/flt_files/icxt61gvq_flt.fits GN4 177.007507
/Users/Vince.ec/Clear_data/flt_files/icxt61gwq_flt.fits GN4 177.007202
/Users/Vince.ec/Clear_data/flt_files/icxt61gzq_flt.fits GN4 177.007599
/Users/Vince.ec/Clear_data/flt_files/icxt61h1q_flt.fits GN4 177.007996
/Users/Vince.ec/Clear_data/flt_files/icxt62lkq_flt.fits GN4 137.703506
/Users/Vince.ec/Clear_data/flt_files/icxt62llq_flt.fits GN4 137.702805
/Users/Vince.ec/Clear_data/flt_files/icxt62loq_flt.fits GN4 137.703003
/Users/Vince.ec/Clear_data/flt_files/icxt62lqq_flt.fits GN4 137.703796
/Users/Vince.ec/Clear_data/flt_files/icxt63ltq_flt.fits GN4 137.703506
/Users/Vince.ec/Clear_data/flt_files/icxt63luq_flt.fits GN4 137.702805
/Users/Vince.ec/Clear_data/flt_files/icxt63lxq_flt.fits GN4 137.703003
/Users/Vince.ec/Clear_data/flt_files/icxt63lzq_flt.fits GN4 137.703796
/Users/Vince.ec/Clear_data/flt_files/icxt64qrq_flt.fits GN4 217.002197
/Users/Vince.ec/Clear_data/flt_files/icxt64qsq_flt.fits GN4 217.002304
/Users/Vince.ec/Clear_data/flt_files/icxt64qvq_flt.fits GN4 217.002701
/Users/Vince.ec/Clear_data/flt_files/icxt64qxq_flt.fits GN4 217.002594
/Users/Vince.ec/Clear_data/flt_files/icxt65evq_flt.fits GN4 217.002197
/Users/Vince.ec/Clear_data/flt_files/icxt65ewq_flt.fits GN4 217.002304
/Users/Vince.ec/Clear_data/flt_files/icxt65ezq_flt.fits GN4 217.002701
/Users/Vince.ec/Clear_data/flt_files/icxt65f1q_flt.fits GN4 217.002594
